cluster_name,nominal_galex_coverage,_r,RAJ2000,DEJ2000,Name,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,NUVw,FUVw,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,groupTot,OName,Size,arcsec_sep_from_bcg
LoVoCCS-5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-9,True,1.091,67.414796,-61.17624,GALEX J042939.5-611034,6.385693257263746e+18,6.385693257262694e+18,AIS,67.812027,-61.217329,192.0,192.0,271.8761,-40.415,50420.0,1953.0,61.0,0.195748,1.0,1.0,0.018200000748038292,0.0,1.0,,,20.5285,0.17000000178813934,,,0.4485,0.17000000178813934,,,1.3903,0.2239,,,0.7829,0.2047,0.0,256.0,0.0,0.0,,,22.3149,3.4941,,,2358.93,1903.01,,14.335,,0.005973,0.07029999792575836,0.0,0.37940001487731934,,-80.05999755859375,-80.80000305175781,,,15.0,8.800000190734863,3.85177,0.001364,0.000848,,,,140.1999969482422,162.1999969482422,,,1.159999966621399,,,0.46000000834465027,,C,0.0,1.0,6.385693257263746e+18,6385693257263746233,0.0,1.0,6.385693257263746e+18,6385693257263746233,6385693257263746233,N,,1.0929734975187535
LoVoCCS-11,True,5.193,137.330583,-9.699851,GALEX J090919.3-094159,6.378339691287023e+18,6.378339691283874e+18,AIS,137.41869,-9.836691,144.0,144.0,239.3859,24.8155,50211.0,993.0,31.0,0.162064,1.0,3.0,0.0681999996304512,0.0,0.0,21.7118,0.33169999718666077,21.318,0.3546000123023987,2.8918,0.33169999718666077,1.238,0.3546000123023987,2.9581,0.3526,1.3833,0.2663,2.9758,0.4935,1.1915,0.3581,0.0,0.0,0.0,0.0,7.5035,2.29176,10.7843,3.52164,2071.98,2258.07,2071.1,2257.2,2.388,8.295,0.000995,0.003456,0.9732999801635742,0.9634000062942505,0.19429999589920044,0.18039999902248383,24.479999542236328,23.780000686645508,36.560001373291016,36.58000183105469,9.5,1.399999976158142,5.31203,0.000737,0.000594,3.5,0.000491,0.000403,106.19999694824219,136.3000030517578,0.406585,1.8700000047683716,1.0499999523162842,1.1799999475479126,1.3899999856948853,0.41999998688697815,0.20000000298023224,C,0.0,1.0,6.378339691287023e+18,6378339691287022393,0.0,1.0,6.378339691287023e+18,6378339691287022393,6378339691287022393,N,,5.224075736860333
LoVoCCS-13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-14,True,1.95,44.535837,13.073483,GALEX J025808.6+130424,6.377073035636114e+18,6.377073035635065e+18,AIS,44.713663,13.21833,272.0,272.0,164.3753,-39.3924,50175.0,449.0,14.0,0.225758,1.0,1.0,0.16380000114440918,0.0,0.0,,,22.0716,0.32760000228881836,,,1.9916,0.32760000228881836,,,1.909,0.2835,,,2.2298,0.677,0.0,0.0,0.0,0.0,,,5.38709,1.62508,,,2309.96,1557.78,,5.823,,0.002426,0.9901999831199646,0.0,0.25780001282691956,,2.549999952316284,4.510000228881836,,,7.900000095367432,0.49000000953674316,3.5,0.00064,0.000475,,,,208.8000030517578,263.1000061035156,,,0.8399999737739563,,,0.41999998688697815,,C,0.0,1.0,6.377073035636114e+18,6377073035636114844,0.0,1.0,6.377073035636114e+18,6377073035636114844,6377073035636114844,N,,1.941304461845266
LoVoCCS-21,True,1.112,201.873552,-31.38997,GALEX J132729.6-312323,6.388191387412595e+18,6.388191387409449e+18,AIS,202.134552,-30.965227,109.0,109.0,311.8949,30.8535,50491.0,3137.0,98.0,0.479864,1.0,3.0,0.05779999867081642,0.0,0.0,19.8902,0.18930000066757202,19.6598,0.13369999825954437,1.0702,0.18930000066757202,-0.4202,0.13369999825954437,1.491,0.2332,0.0542,0.1333,1.0359,0.1902,-0.3682,0.1256,0.0,1.0,0.0,0.0,40.1722,7.00161,49.6688,6.11304,2422.82,896.28,2422.72,896.08,10.126,12.317,0.004219,0.005132,0.24889999628067017,0.42239999771118164,0.133200004696846,0.267300009727478,23.440000534057617,44.31999969482422,-84.29000091552734,-84.16999816894531,10.0,4.300000190734863,4.26985,0.001112,0.000964,3.99229,0.001024,0.00075,91.5,104.9000015258789,0.967841,0.25,0.6800000071525574,1.2000000476837158,1.0399999618530273,0.25999999046325684,0.20999999344348907,C,0.0,1.0,6.388191387412595e+18,6388191387412595129,0.0,1.0,6.388191387412595e+18,6388191387412595129,6388191387412595129,GA:PGC047154,69.69,1.1373445791885708
LoVoCCS-22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-28,True,1.692,184.47202,3.69482,GALEX J121753.2+034141,6.378937813799274e+18,6.378937813798224e+18,AIS,184.057116,3.880519,94.19999694824219,198.3,282.5994,65.2337,50228.0,641.0,20.0,0.453738,1.0,1.0,0.016699999570846558,0.0,0.0,,,21.3878,0.3433000147342682,,,1.3078,0.3433000147342682,,,1.6262,0.2332,,,1.0606,0.2246,0.0,0.0,0.0,0.0,,,10.1132,3.19666,,,925.78,1437.3,,13.995,,0.005831,0.021400000900030136,0.0,0.32280001044273376,,36.75,38.27000045776367,,,14.0,7.599999904632568,4.94641,0.001182,0.0008,,,,167.39999389648438,89.80000305175781,,,1.350000023841858,,,0.5299999713897705,,C,0.0,1.0,6.378937813799274e+18,6378937813799274076,0.0,1.0,6.378937813799274e+18,6378937813799274076,6378937813799274076,N,,1.6952442512151658
LoVoCCS-30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-39,True,6.14,229.688495,6.275122,GALEX J151845.2+061630,6.382772985518885e+18,6.382772985517834e+18,AIS,230.070693,6.332068,143.0,143.0,8.9133,49.2831,50337.0,2881.0,90.0,0.384132,1.0,1.0,0.03669999912381172,0.0,0.0,,,20.747,0.361299991607666,,,0.667,0.361299991607666,,,1.9852,0.3878,,,1.3464,0.3823,0.0,0.0,0.0,1.0,,,18.2466,6.07116,,,2832.91,1799.47,,12.923,,0.005384,0.9628000259399414,0.0,0.4772000014781952,,49.65999984741211,49.400001525878906,,,13.0,,7.90952,0.001242,0.000649,,,,115.9000015258789,129.1999969482422,,,1.940000057220459,,,0.8100000023841858,,C,0.0,1.0,6.382772985518885e+18,6382772985518884874,0.0,1.0,6.382772985518885e+18,6382772985518884874,6382772985518884874,N,,6.160457291775261
LoVoCCS-41C,True,3.842,202.545962,-2.102322,GALEX J133011.0-020608,6.378832273567909e+18,6.378832273566859e+18,AIS,202.603985,-1.75536,103.0,103.0,322.1696,59.3145,50225.0,1025.0,32.0,0.351775,1.0,1.0,0.04019999876618385,0.0,0.0,,,21.5869,0.4724999964237213,,,1.5069,0.4724999964237213,,,1.9326,0.461,,,1.4577,0.568,0.0,0.0,0.0,0.0,,,8.41861,3.66301,,,2049.35,1099.88,,2.921,,0.001217,0.896399974822998,0.0,0.18320000171661377,,15.630000114440918,15.279999732971191,,,2.200000047683716,120.0,6.47579,0.000495,0.000404,,,,76.0,89.80000305175781,,,1.3899999856948853,,,0.5199999809265137,,C,0.0,1.0,6.378832273567909e+18,6378832273567908429,0.0,1.0,6.378832273567909e+18,6378832273567908429,6378832273567908429,N,,3.8465994114504456
LoVoCCS-42,True,3.638,328.545823,-57.845246,GALEX J215410.9-575042,6.383758079219993e+18,6.383758079216845e+18,AIS,327.601531,-57.721813,217.0,217.0,335.6001,-46.4654,50365.0,833.0,26.0,0.518327,1.0,3.0,0.02979999966919422,0.0,0.0,21.1778,0.25850000977516174,20.8174,0.21889999508857727,2.3578,0.25850000977516174,0.7374,0.21889999508857727,3.439,0.4765,1.7696,0.2513,2.668,0.326,0.716,0.1629,0.0,17.0,0.0,3.0,12.2711,2.92071,17.1011,3.44683,821.5,1769.05,821.83,1765.4,14.549,19.327,0.006062,0.008053,0.07569999992847443,0.9013000130653381,0.18479999899864197,0.5913000106811523,-6.96999979019165,-4.380000114440918,48.68000030517578,48.29999923706055,20.0,7.699999809265137,4.09248,0.00151,0.001232,3.5,0.001581,0.000648,187.1999969482422,174.3000030517578,0.0134955,5.510000228881836,1.2400000095367432,1.75,1.8799999952316284,0.49000000953674316,0.5,C,0.0,1.0,6.383758079219993e+18,6383758079219992819,0.0,1.0,6.383758079219993e+18,6383758079219992819,6383758079219992819,N,,3.6231246995696047
LoVoCCS-45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-60A,True,3.906,334.56996,-3.822662,GALEX J221816.7-034921,6.376439741634578e+18,6.376439741633528e+18,AIS,335.104001,-3.775451,204.0500030517578,204.05,58.6486,-46.668,50157.0,1185.0,37.0,0.534955,1.0,1.0,0.1111999973654747,0.0,0.0,,,21.9603,0.4138999879360199,,,1.8803,0.4138999879360199,,,2.4125,0.4112,,,2.4223,0.752,0.0,0.0,0.0,0.0,,,5.96871,2.27458,,,3194.64,1800.41,,8.545,,0.00356,0.9284999966621399,0.0,0.7182000279426575,,13.569999694824219,13.470000267028809,,,8.5,14.0,5.36641,0.001121,0.000316,,,,165.89999389648438,156.8000030517578,,,1.9299999475479126,,,0.8399999737739563,,C,0.0,1.0,6.376439741634578e+18,6376439741634578212,0.0,1.0,6.376439741634578e+18,6376439741634578212,6376439741634578212,N,,3.882345870579337
LoVoCCS-61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-80,True,2.002,52.128003,-55.704982,GALEX J032830.7-554217,6.385869039537751e+18,6.385869039536701e+18,AIS,52.786776,-55.540941,105.0,105.0,269.3104,-49.9016,50425.0,1889.0,59.0,0.406531,1.0,1.0,0.020099999383091927,0.0,0.0,,,21.5501,0.3589000105857849,,,1.4701,0.3589000105857849,,,1.8203,0.3809,,,1.1378,0.3667,0.0,0.0,0.0,0.0,,,8.70883,2.87834,,,3018.53,1797.65,,9.136,,0.003806,0.9824000000953674,0.0,0.459199994802475,,-40.599998474121094,-40.47999954223633,,,9.100000381469727,1.399999976158142,3.93362,0.000865,0.000467,,,,86.0,100.19999694824219,,,1.3600000143051147,,,0.5099999904632568,,V,0.0,1.0,6.385869039537751e+18,6385869039537751512,0.0,1.0,6.385869039537751e+18,6385869039537751512,6385869039537751512,N,,2.01174237923915
LoVoCCS-108,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-131,True,4.299,137.742573,-10.564814,GALEX J091058.2-103353,6.378339702022344e+18,6.378339702021292e+18,AIS,137.901547,-10.7244,218.0,218.0,240.4176,24.63,50211.0,1313.0,41.0,0.223334,1.0,1.0,0.054099999368190765,0.0,0.0,,,22.1623,0.4185999929904938,,,2.0823,0.4185999929904938,,,2.2094,0.3482,,,2.2364,0.6339,0.0,0.0,0.0,0.0,,,4.95563,1.91038,,,2274.41,2302.7,,8.228,,0.003428,0.843500018119812,0.0,0.4327999949455261,,-76.75,-76.0199966430664,,,8.199999809265137,4.800000190734863,4.78599,0.000761,0.000432,,,,163.5,197.8000030517578,,,1.5700000524520874,,,0.6100000143051147,,C,0.0,1.0,6.378339702022344e+18,6378339702022344005,0.0,1.0,6.378339702022344e+18,6378339702022344005,6378339702022344005,N,,4.329078331764852
LoVoCCS-134,True,0.258,329.608322,-60.426015,GALEX J215825.9-602533,6.383758098545251e+18,6.383758098544198e+18,AIS,329.932286,-60.85082,214.0,214.0,331.9305,-45.7671,50365.0,1409.0,44.0,0.453531,1.0,1.0,0.036400001496076584,0.0,0.0,,,21.1253,0.24060000479221344,,,1.0453,0.24060000479221344,,,1.62,0.1894,,,1.2329,0.2204,0.0,1.0,0.0,0.0,,,12.8789,2.85311,,,2408.91,2942.91,,12.586,,0.005244,0.14740000665187836,0.0,0.46459999680519104,,68.19999694824219,70.80000305175781,,,13.0,5.400000095367432,5.63311,0.001196,0.000639,,,,172.6999969482422,172.0,,,1.1100000143051147,,,0.44999998807907104,,C,0.0,1.0,6.383758098545251e+18,6383758098545251781,0.0,1.0,6.383758098545251e+18,6383758098545251781,6383758098545251781,N,,0.27163321743460905
LoVoCCS-134,True,2.734,329.606908,-60.426207,GALEX J215825.6-602534,6.383758094252376e+18,6.38375809424923e+18,AIS,329.782211,-59.960583,189.0500030517578,196.05,331.9307,-45.7664,50365.0,1281.0,40.0,0.473707,1.0,3.0,0.036400001496076584,0.0,0.0,22.2678,0.382099986076355,21.8149,0.2635999917984009,3.4478,0.382099986076355,1.7349,0.2635999917984009,3.2617,0.3716,1.929,0.2466,2.9945,0.4199,1.6671,0.3496,0.0,17.0,0.0,0.0,4.49651,1.58193,6.82392,1.65634,2218.71,791.16,2220.74,791.06,4.159,10.049,0.001733,0.004187,0.9771999716758728,0.8431000113487244,0.45660001039505005,0.188400000333786,5.099999904632568,6.71999979019165,-26.610000610351562,-26.450000762939453,10.0,3.0,3.5,0.000948,0.000516,3.84719,0.000451,0.000366,158.6999969482422,159.39999389648438,0.203842,3.180000066757202,1.409999966621399,1.3799999952316284,1.7699999809265137,0.550000011920929,0.25999999046325684,C,0.0,1.0,6.383758094252376e+18,6383758094252376481,0.0,1.0,6.383758094252376e+18,6383758094252376481,6383758094252376481,N,,2.731036832902665
